GameID,Transformer_Color,PGN,NumMoves,Result
1,White,1.e4 d5 2.Nc3 e6 3.d4 Nc6 4.f4 dxe4 5.Nxe4 Qd5 6.Nf6 Nxf6,7,*
2,Black,1.a3 e5 2.e3 Nc6 3.d4 e4 4.d5 Nf6 5.dxc6 dxc6 6.Nc3,6,*
3,White,1.e4 e6 2.f4 Nc6 3.Bc4 d5 4.exd5 exd5 5.d3 dxc4 6.f5 Bb4+,7,*
4,Black,1.c4 e5 2.g3 Nc6 3.Nc3 a6 4.a3 d5 5.cxd5 Bc5 6.dxc6,6,*
5,White,1.e4 d5 2.Nc3 d4 3.Nf3 dxc3 4.dxc3 Nf6 5.e5 Ne4 6.Qe2 Qd5,7,*
6,Black,1.d4 d5 2.c3 f6 3.a4 g6 4.a5 f5 5.h4 b5 6.Bf4 e6 7.Be5 Nf6 8.Nf3 g5 9.hxg5 f4 10.Bxf4,10,*
7,White,1.c4 e6 2.g3 b6 3.Bg2 d5 4.Nf3 Nf6 5.d3 c6 6.e4 dxc4 7.dxc4+ Bb4+,8,*
8,Black,1.f3 d5 2.e3 Nf6 3.Nc3 b5 4.Nxb5 a6 5.Na3 Kd7 6.b3 c5 7.Bb2 c4 8.Ne2 a5 9.bxc4,9,*
9,White,1.d4 Nf6 2.c4 d5 3.Nc3 e6 4.e4 dxe4 5.Nxe4 Bb4+ 6.Bd2 Bxd2+ 7.Kxd2 Nxe4+ 8.Kc1# a5,9,*
10,Black,1.c4 Nf6 2.e3 e6 3.Nf3 d5 4.Be2 Bd6 5.O-O Be7 6.d4 c5 7.Nc3 a5 8.cxd5,8,*
11,White,1.e4 e6 2.d4 d5 3.Nc3 a6 4.Nf3 Nf6 5.Bd3 Nxe4 6.Nxe4 dxe4 7.Qe2 exf3,8,*
12,Black,1.h3 e5 2.d4 c6 3.dxe5 d6 4.Nf3,4,*
13,White,1.c3 e5 2.d4 e4 3.Nd2 Qe7 4.f3 f5 5.h4 Nf6 6.Ne4 fxe4 7.fxe4+ Qxe4 8.g4 Bd6,9,*
14,Black,1.c4 e6 2.e3 Be7 3.Nf3 d5 4.a3 Nf6 5.Be2,5,*
15,White,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 a6 5.Nb5 axb5 6.a4 c6 7.b4 h5 8.Nd2 Ngf6 9.a5 Qc7,10,*
16,Black,1.Na3 d5 2.e3 Nf6 3.c3 e6 4.Qc2 Be7 5.d4 Nbd7 6.Be2 c6 7.Nf3,7,*
17,White,1.e4 d5 2.exd5 Nf6 3.Bc4 a6 4.Nf3 c6 5.d4 Bg4 6.c3 cxd5 7.Be2 e6 8.Nbd2 Be7,9,*
18,Black,1.e4 e5 2.d4 c6 3.dxe5 d5 4.Nf3 Bg4 5.exd5,5,*
19,White,1.d4 c6 2.Nf3 a5 3.g3 a4 4.Bg2 g6 5.Nc3 d5 6.Bg5 a3 7.Nxe4 dxe4,8,*
20,Black,1.g4 c5 2.Nc3 d6 3.e4 Nf6 4.Be2 Nc6 5.h4 e6 6.Nh3 Be7 7.d3 e5 8.g5 h6 9.f4 Nxe4 10.dxe4,10,*
